4#Canakkale, ÇNakkale, Turkey#TU#TU17#27690#40.1456#26.4064#-741845#145;1#Turkish#TU#TU##39#35#TU#412;1#Turkish#TU#TU##39#35#TU#558;1#Turkey#TU#TU##39#35#TU#153;1#Turkey#TU#TU##39#35#TU#176;1#Turkey#TU#TU##39#35#TU#717	2.25225225225225,2.7027027027027,0.45045045045045,3.15315315315315,22.972972972973,0,198
3#Steubenville, Ohio, United States#US#USOH#OH081#40.3698#-80.634#1065383#5009;2#California, United States#US#USCA##36.17#-119.746#CA#5148;2#Tennessee, United States#US#USTN##35.7449#-86.7489#TN#485;2#Tennessee, United States#US#USTN##35.7449#-86.7489#TN#914;2#Tennessee, United States#US#USTN##35.7449#-86.7489#TN#2392;2#Tennessee, United States#US#USTN##35.7449#-86.7489#TN#2963;3#Berkeley, California, United States#US#USCA#CA001#37.8716#-122.273#1658037#5159;3#Oakland, California, United States#US#USCA#CA001#37.8044#-122.271#277566#4946;3#Washington, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#277;3#Washington, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#4448;3#Washington, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#4675;2#Ohio, United States#US#USOH##40.3736#-82.7755#OH#5031;3#Sacramento, California, United States#US#USCA#CA067#38.5816#-121.494#1659564#4900;3#University Of Washington, Washington, United States#US#USWA#WA033#47.6561#-122.311#1509187#4675;2#Nebraska, United States#US#USNE##41.1289#-98.2883#NE#1356;3#San Diego, California, United States#US#USCA#CA073#32.7153#-117.157#1661377#1472	0.53248136315229,3.62087326943557,3.08839190628328,6.70926517571885,19.062832800852,0.212992545260916,852
1#Australian#CU#AS##-27#133#AS#116;1#Australian#CU#AS##-27#133#AS#2248;4#Sydney, New South Wales, Australia#CU#AS02#154637#-33.8833#151.217#-1603135#1550;4#Sydney, New South Wales, Australia#CU#AS02#154637#-33.8833#151.217#-1603135#2967;1#Australia#CU#AS##-27#133#AS#707;1#Australia#CU#AS##-27#133#AS#1211;1#Australia#CU#AS##-27#133#AS#1561;1#Australia#CU#AS##-27#133#AS#2978;1#Afghanistan#CU#AF##33#65#AF#1258;1#Cuba#CU#CU##21.5#-80#CU#881;1#Pakistan#CU#PK##30#70#PK#1233	-6.62068965517241,2.62068965517241,9.24137931034483,11.8620689655172,24.2758620689655,2.06896551724138,656
	-5.58659217877095,0,5.58659217877095,5.58659217877095,27.3743016759777,0,167
4#Brighton, Brighton And Hove, United Kingdom#UK#UKB6#40137#50.8333#-0.15#-2590884#4140	2.63636363636364,5.09090909090909,2.45454545454545,7.54545454545455,15.6363636363636,0.818181818181818,889
	-2.19298245614035,0.87719298245614,3.07017543859649,3.94736842105263,25,2.41228070175439,406
3#Salem, Oregon, United States#US#USOR#OR047#44.9429#-123.035#1167861#144;3#Salem, Oregon, United States#US#USOR#OR047#44.9429#-123.035#1167861#672;3#Salem, Oregon, United States#US#USOR#OR047#44.9429#-123.035#1167861#1184;2#Oregon, United States#US#USOR##44.5672#-122.127#OR#17;2#Oregon, United States#US#USOR##44.5672#-122.127#OR#33;2#Oregon, United States#US#USOR##44.5672#-122.127#OR#85;2#Oregon, United States#US#USOR##44.5672#-122.127#OR#104;2#Oregon, United States#US#USOR##44.5672#-122.127#OR#527;2#Oregon, United States#US#USOR##44.5672#-122.127#OR#607;2#Oregon, United States#US#USOR##44.5672#-122.127#OR#1067;2#Oregon, United States#US#USOR##44.5672#-122.127#OR#1120	-0.851063829787234,0.425531914893617,1.27659574468085,1.70212765957447,22.1276595744681,0,221
2#South Carolina, United States#US#USSC##33.8191#-80.9066#SC#408;2#New Jersey, United States#US#USNJ##40.314#-74.5089#NJ#63;2#New Jersey, United States#US#USNJ##40.314#-74.5089#NJ#150;2#New Jersey, United States#US#USNJ##40.314#-74.5089#NJ#530	-3.18471337579618,0,3.18471337579618,3.18471337579618,20.3821656050955,7.00636942675159,137
1#Italian#CF#IT##42.8333#12.8333#IT#901	-1.46551724137931,3.18965517241379,4.6551724137931,7.8448275862069,18.1896551724138,0.258620689655172,1047
4#Saskatchewan, Manitoba, Canada#CA#CA03#154724#52.15#-97.7167#-575075#124;4#Loon Lake, Saskatchewan, Canada#CA#CA11#154724#54.0253#-109.161#429927#357;1#Canadian#CA#CA##60#-95#CA#383;1#Canadian#CA#CA##60#-95#CA#1019;1#Canadian#CA#CA##60#-95#CA#1293	1.37614678899083,3.21100917431193,1.8348623853211,5.04587155963303,19.2660550458716,0.458715596330275,199
	-1.41643059490085,2.54957507082153,3.96600566572238,6.51558073654391,25.7790368271955,0,329
3#San Antonio, Texas, United States#US#USTX#TX029#29.4241#-98.4936#1380951#1295;1#Australia#US#AS##-27#133#AS#547	-0.646551724137931,2.80172413793103,3.44827586206897,6.25,23.7068965517241,1.07758620689655,396
1#Somali#SO#SO##10#49#SO#155;1#Somalia#SO#SO##10#49#SO#19;1#Somalia#SO#SO##10#49#SO#29;1#Somalia#SO#SO##10#49#SO#744;1#Somalia#SO#SO##10#49#SO#1089;4#Mogadishu, Banaadir, Somalia#SO#SO02#25691#2.06667#45.3667#-3227437#10	-5.88235294117647,0,5.88235294117647,5.88235294117647,24.5989304812834,0,166
2#New York, United States#US#USNY##42.1497#-74.9384#NY#2678;2#Pennsylvania, United States#US#USPA##40.5773#-77.264#PA#2693;4#Mexico City, Distrito Federal, Mexico#US#MX09#20887#19.4342#-99.1386#-1658079#185;4#Mexico City, Distrito Federal, Mexico#US#MX09#20887#19.4342#-99.1386#-1658079#704;4#Mexico City, Distrito Federal, Mexico#US#MX09#20887#19.4342#-99.1386#-1658079#1194;3#Brantford, North Dakota, United States#US#USND#ND027#47.5978#-98.9229#1028116#25;3#Brantford, North Dakota, United States#US#USND#ND027#47.5978#-98.9229#1028116#284;3#Brantford, North Dakota, United States#US#USND#ND027#47.5978#-98.9229#1028116#435;3#Brantford, North Dakota, United States#US#USND#ND027#47.5978#-98.9229#1028116#492;3#Brantford, North Dakota, United States#US#USND#ND027#47.5978#-98.9229#1028116#1516;3#Brantford, North Dakota, United States#US#USND#ND027#47.5978#-98.9229#1028116#1591;3#Brantford, North Dakota, United States#US#USND#ND027#47.5978#-98.9229#1028116#1824;3#Brantford, North Dakota, United States#US#USND#ND027#47.5978#-98.9229#1028116#2948;3#Brantford, North Dakota, United States#US#USND#ND027#47.5978#-98.9229#1028116#3202;3#Brantford, North Dakota, United States#US#USND#ND027#47.5978#-98.9229#1028116#3711;3#Brooklyn, New York, United States#US#USNY#NY025#42.3442#-75.1704#944840#2540;3#Philadelphia, Pennsylvania, United States#US#USPA#PA101#39.9523#-75.1638#1209052#1777;2#North Dakota, United States#US#USND##47.5362#-99.793#ND#2708;1#American#US#US##38#-97#US#1278;4#Berlin, Berlin, Germany#US#GM16#16538#52.5167#13.4#-1746443#1311	2.43204577968527,3.86266094420601,1.43061516452074,5.29327610872675,21.0300429184549,0,647
	1.03092783505155,3.09278350515464,2.06185567010309,5.15463917525773,18.5567010309278,0,87
3#West Salem, Wisconsin, United States#US#USWI#WI063#43.8991#-91.0812#1576552#3264;3#Germania Hall, Wisconsin, United States#US#USWI#WI139#44.2014#-88.4526#1843543#984;3#La Crosse County, Wisconsin, United States#US#USWI#WI063#43.7505#-91.1001#1581091#3809;2#Wisconsin, United States#US#USWI##44.2563#-89.6385#WI#3927;3#Washington, District Of Columbia, United States#US#USDC#DC001#38.8951#-77.0364#531871#1577	2.63473053892216,3.83233532934132,1.19760479041916,5.02994011976048,18.8023952095808,0.239520958083832,745
3#Chicago, Illinois, United States#SF#USIL#IL031#41.85#-87.6501#423587#2201	0.956937799043062,2.93062200956938,1.97368421052632,4.90430622009569,23.0861244019139,4.72488038277512,1417
2#Nevada, United States#US#USNV##38.4199#-117.122#NV#267;2#Nevada, United States#US#USNV##38.4199#-117.122#NV#831	-4.8951048951049,1.3986013986014,6.29370629370629,7.69230769230769,25.1748251748252,0,130
3#West Hartford, Connecticut, United States#US#USCT#CT003#41.762#-72.742#211952#2328;2#Connecticut, United States#US#USCT##41.5834#-72.7622#CT#1533;2#Connecticut, United States#US#USCT##41.5834#-72.7622#CT#1606;2#Connecticut, United States#US#USCT##41.5834#-72.7622#CT#3069;2#Connecticut, United States#US#USCT##41.5834#-72.7622#CT#3642	-0.125,2.5,2.625,5.125,20.625,1,722
1#Vietnam#VM#VM##16#106#VM#649;1#Vietnam#VM#VM##16#106#VM#658;1#Vietnam#VM#VM##16#106#VM#1642;1#Italy#VM#IT##42.8333#12.8333#IT#758;1#Italy#VM#IT##42.8333#12.8333#IT#780;4#North Vietnam, Vietnam (General), Vietnam, Republic Of#VM#VM00#32675#22#105#-3704661#649;1#Vietnamese#VM#VM##16#106#VM#147;1#Vietnamese#VM#VM##16#106#VM#246;1#Vietnamese#VM#VM##16#106#VM#392;1#Vietnamese#VM#VM##16#106#VM#892;1#Vietnamese#VM#VM##16#106#VM#3443	1.02639296187683,2.34604105571848,1.31964809384164,3.66568914956012,20.6744868035191,0.733137829912023,625
2#Oklahoma, United States#US#USOK##35.5376#-96.9247#OK#8;2#Oklahoma, United States#US#USOK##35.5376#-96.9247#OK#127;2#Oklahoma, United States#US#USOK##35.5376#-96.9247#OK#172;2#Oklahoma, United States#US#USOK##35.5376#-96.9247#OK#603;3#Oklahoma County, Oklahoma, United States#US#USOK#OK109#35.5501#-97.4003#1101842#179;3#Oklahoma County, Oklahoma, United States#US#USOK#OK109#35.5501#-97.4003#1101842#610;3#Oklahoma City, Oklahoma, United States#US#USOK#OK109#35.4676#-97.5164#1102140#13;3#Oklahoma City, Oklahoma, United States#US#USOK#OK109#35.4676#-97.5164#1102140#132	-4.65116279069767,0,4.65116279069767,4.65116279069767,20.1550387596899,0,125
1#Jordan#BA#JO##31#36#JO#2846;1#Americans#BA#US##38#-97#US#3730;1#America#BA#US##38#-97#US#328;1#America#BA#US##38#-97#US#3294;1#America#BA#US##38#-97#US#3554;1#America#BA#US##38#-97#US#3971;1#United States#BA#US##38#-97#US#58;1#United States#BA#US##38#-97#US#767;1#United States#BA#US##38#-97#US#4144;3#Chicago, Illinois, United States#BA#USIL#IL031#41.85#-87.6501#423587#43;3#Chicago, Illinois, United States#BA#USIL#IL031#41.85#-87.6501#423587#752;1#Bahrain#BA#BA##26#50.55#BA#2856;2#Florida, United States#BA#USFL##27.8333#-81.717#FL#78;1#Iraqi#BA#IZ##33#44#IZ#1264;1#Iraqi#BA#IZ##33#44#IZ#2638;1#Iraq#BA#IZ##33#44#IZ#915;1#Iraq#BA#IZ##33#44#IZ#1351;1#Iraq#BA#IZ##33#44#IZ#1855;1#Iraq#BA#IZ##33#44#IZ#2013;1#Iraq#BA#IZ##33#44#IZ#2742;1#Iraq#BA#IZ##33#44#IZ#3668;1#Saudi Arabia#BA#SA##25#45#SA#2898;1#American#BA#US##38#-97#US#1410;1#American#BA#US##38#-97#US#2718;1#United Arab Emirates#BA#AE##24#54#AE#2883;1#Syria#BA#SY##35#38#SY#2021	-1.05633802816901,2.58215962441315,3.63849765258216,6.22065727699531,20.3051643192488,0.234741784037559,783
